Reference, Value, Footprint, Datasheet
RV3,50k,Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical,~
SW1,SW_SPDT,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
SW2,BOARD SW,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
SW3,ECHO SW,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
U1,74LS123,Package_DIP:DIP-16_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS123
U2,74LS00,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74ls00
U3,74LS37,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74ls00
U4,MC6800,Package_DIP:DIP-40_W15.24mm_Socket,http://pdf.datasheetcatalog.com/datasheet/motorola/MC68A00L.pdf
U5,74LS00,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74ls00
U6,74LS00,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74ls00
U7,74LS138,Package_DIP:DIP-16_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS138
U8,74LS245,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS245
U9,MC14536B,Package_DIP:DIP-16_W7.62mm_Socket,
U10,74LS244,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS244
U11,74LS244,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS244
U12,MC68A21,Package_DIP:DIP-40_W15.24mm_Socket,http://pdf.datasheetcatalog.com/datasheet/motorola/6821.pdf
U13,28C256,Package_DIP:DIP-28_W15.24mm_Socket,http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf
U14,128k SRAM,Package_DIP:DIP-32_W15.24mm_Socket,http://www.futurlec.com/Datasheet/Memory/628128.pdf
U15,PS-70N,PUSH_SW:SW_PUSH_PS-70N,
